"ID" "name_C" "name_lib" "level_C" "order" "name_E" "level_E" "species" "field_type" "name_code" "name_baiaoyun" "class_standard" "level_code"
38 "豆荚螟" "DouJiaMing" "5-中抗" 37 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T037" "豆荚螟" 0 "T037-5-"
38 "豆荚螟" "DouJiaMing" "7-感" 37 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T037" "豆荚螟" 0 "T037-7-"
38 "豆荚螟" "DouJiaMing" "9-高感" 37 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T037" "豆荚螟" 0 "T037-9-"
38 "豆荚螟" "DouJiaMing" "99-分离" 37 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T037" "豆荚螟" 0 "T037-99-"
39 "蚜虫" "YaChong" "1-高抗" 38 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T038" "蚜虫" 0 "T038-1-"
39 "蚜虫" "YaChong" "3-抗" 38 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T038" "蚜虫" 0 "T038-3-"
39 "蚜虫" "YaChong" "5-中抗" 38 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T038" "蚜虫" 0 "T038-5-"
39 "蚜虫" "YaChong" "7-感" 38 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T038" "蚜虫" 0 "T038-7-"
39 "蚜虫" "YaChong" "9-高感" 38 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T038" "蚜虫" 0 "T038-9-"
39 "蚜虫" "YaChong" "99-分离" 38 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T038" "蚜虫" 0 "T038-99-"
40 "食叶性害虫" "ShiYeXingHaiChong" "0-食叶0-5" 39 NA "0-ShiYe0-5_1-ShiYe6-25_2-ShiYe26-50_3-ShiYe51-75_4-ShiYe>76_99-FenLi" "soybean" "C" "T039" "食叶性害虫" 0 "T039-0-0-5"
40 "食叶性害虫" "ShiYeXingHaiChong" "1-食叶6-25" 39 NA "0-ShiYe0-5_1-ShiYe6-25_2-ShiYe26-50_3-ShiYe51-75_4-ShiYe>76_99-FenLi" "soybean" "C" "T039" "食叶性害虫" 0 "T039-1-6-25"
40 "食叶性害虫" "ShiYeXingHaiChong" "2-食叶26-50" 39 NA "0-ShiYe0-5_1-ShiYe6-25_2-ShiYe26-50_3-ShiYe51-75_4-ShiYe>76_99-FenLi" "soybean" "C" "T039" "食叶性害虫" 0 "T039-2-26-50"
40 "食叶性害虫" "ShiYeXingHaiChong" "3-食叶51-75" 39 NA "0-ShiYe0-5_1-ShiYe6-25_2-ShiYe26-50_3-ShiYe51-75_4-ShiYe>76_99-FenLi" "soybean" "C" "T039" "食叶性害虫" 0 "T039-3-51-75"
